"","term","grammar_category","polarity","polarity_target","polarity_classification"
"1","a-vontade","N",1,"N0","MAN"
"2","abafado","Adj",-1,"N0","JALC"
"3","abafante","Adj",-1,"N0","MAN"
"4","abaixado","Adj",-1,"N0","JALC"
"5","abalado","Adj",-1,"N0","JALC"
"6","abalizado","Adj",1,"N0","JALC"
"7","abalroado","Adj",-1,"N0","MAN"
"8","abalroar","V",1,"N0:N1","MAN"
"9","abanar","V",1,"N0:N1","MAN"
"10","abandalhado","Adj",-1,"N0","MAN"
"11","abandalhamento","N",-1,"N0","MAN"
"12","abandonado","Adj",-1,"N0","JALC"
"13","abandonar","V",-1,"N0:N1","MAN"
"14","abarcante","Adj",0,"N0","MAN"
"15","abarrotado","Adj",-1,"N0","JALC"
"16","abastado","Adj",1,"N0","MAN"
"17","abastecido","Adj",0,"N0","JALC"
"18","abater","V",1,"N0:N1","MAN"
"19","abatido","Adj",-1,"N0","MAN"
"20","abelhudo","Adj",-1,"N0","MAN"
"21","abencoado","Adj",1,"N0","JALC"
"22","aberracao","N",-1,"N0","MAN"
"23","aberrante","Adj",-1,"N0","MAN"
"24","aberrativo","Adj",-1,"N0","MAN"
"25","aberto","Adj",1,"N0","JALC"
"26","abespinhado","Adj",-1,"N0","JALC"
"27","abestalhado","Adj",-1,"N0","JALC"
"28","abilolado","Adj",-1,"N0","JALC"
"29","abjecao","N",-1,"N0","MAN"
"30","abjeccao","N",-1,"N0","MAN"
"31","abjecto","Adj",-1,"N0","MAN"
"32","abjeto","Adj",-1,"N0","JALC"
"33","abnegado","Adj",1,"N0","MAN"
"34","abobado","Adj",-1,"N0","JALC"
"35","abobalhado","Adj",-1,"N0","JALC"
"36","abolicionista","Adj",0,"N0","MAN"
"37","abolido","Adj",-1,"N0","JALC"
"38","abominador","Adj",-1,"N0","MAN"
"39","abominando","Adj",-1,"N0","JALC"
"40","abominar","V",0,"N0:N1","MAN"
"41","abominavel","Adj",-1,"N0","JALC"
"42","abonado","Adj",1,"N0","MAN"
"43","abonatorio","Adj",1,"N0","MAN"
"44","abonecado","Adj",0,"N0","MAN"
"45","aborrecer-se","V",-1,"N0","MAN"
"46","aborrecer","V",1,"N0:N1","MAN"
"47","aborrecido","Adj",-1,"N0","JALC"
"48","abortado","Adj",-1,"N0","JALC"
"49","abracado","Adj",1,"N0","JALC"
"50","abrasileirado","Adj",0,"N0","MAN"
"51","abrigado","Adj",0,"N0","JALC"
"52","abrilhantado","Adj",1,"N0","JALC"
"53","abrir a alma","IDIOM",1,"N0","MAN"
"54","abrir o coracao","IDIOM",1,"N0","MAN"
"55","abrir os olhos","IDIOM",1,"N0","MAN"
"56","abrupto","Adj",-1,"N0","MAN"
"57","abrutalhado","Adj",-1,"N0","MAN"
"58","absentista","Adj",-1,"N0","MAN"
"59","absolutista","Adj",0,"N0","MAN"
"60","absoluto","Adj",0,"N0","JALC"
"61","absolvido","Adj",0,"N0","JALC"
"62","absorvente","Adj",1,"N0","JALC"
"63","abstemico","Adj",1,"N0","JALC"
"64","abstemio","Adj",1,"N0","MAN"
"65","abstencionista","Adj",0,"N0","MAN"
"66","abstinente","Adj",0,"N0","MAN"
"67","abstracto","Adj",-1,"N0","JALC"
"68","abstraido","Adj",-1,"N0","JALC"
"69","abstrato","Adj",-1,"N0","JALC"
"70","abstrusidade","N",-1,"N0","MAN"
"71","abstruso","Adj",-1,"N0","MAN"
"72","absurdo","Adj",-1,"N0","MAN"
"73","abulia","N",-1,"N0","MAN"
"74","abulico","Adj",-1,"N0","MAN"
"75","aburguesado","Adj",0,"N0","MAN"
"76","abusado","Adj",-1,"N0","JALC"
"77","abusador","Adj",-1,"N0","MAN"
"78","abusar","V",-1,"N0:N1","MAN"
"79","abusivo","Adj",-1,"N0","MAN"
"80","acabado","Adj",-1,"N0","MAN"
"81","acabadote","Adj",-1,"N0","MAN"
"82","acabrunhado","Adj",-1,"N0","MAN"
"83","acaciano","Adj",-1,"N0","MAN"
"84","academico","Adj",0,"N0","JALC"
"85","acalorado","Adj",0,"N0","MAN"
"86","acambarcador","Adj",-1,"N0","JALC"
"87","acanhado","Adj",-1,"N0","MAN"
"88","acanhamento","N",-1,"N0","MAN"
"89","acanhar-se","V",-1,"N0","MAN"
"90","acatado","Adj",1,"N0","JALC"
"91","acatador","Adj",0,"N0","JALC"
"92","acautelado","Adj",0,"N0","JALC"
"93","acefalo","Adj",-1,"N0","MAN"
"94","aceitavel","Adj",1,"N0","JALC"
"95","aceite","Adj",0,"N0","JALC"
"96","aceito","Adj",0,"N0","JALC"
"97","acelerado","Adj",0,"N0","MAN"
"98","acentuado","Adj",0,"N0","JALC"
"99","acerado","Adj",-1,"N0","MAN"
"100","acerbidade","N",-1,"N0","MAN"
"101","acerbo","Adj",-1,"N0","MAN"
"102","acerrimo","Adj",-1,"N0","MAN"
"103","acertado","Adj",1,"N0","JALC"
"104","acertar na mosca","IDIOM",1,"N0","MAN"
"105","acertar na mouche","IDIOM",1,"N0","MAN"
"106","aceso","Adj",0,"N0","JALC"
"107","acessivel","Adj",1,"N0","MAN"
"108","achacado","Adj",-1,"N0","JALC"
"109","achado","Adj",0,"N0","JALC"
"110","achar piada a","IDIOM",0,"N0:N1","MAN"
"111","achatado","Adj",-1,"N0","JALC"
"112","achegado","Adj",1,"N0","JALC"
"113","achincalhar","V",-1,"N0:N1","MAN"
"114","achinesado","Adj",0,"N0","MAN"
"115","acidentado","Adj",-1,"N0","JALC"
"116","aciganado","Adj",-1,"N0","MAN"
"117","acintoso","Adj",-1,"N0","JALC"
"118","acirrado","Adj",-1,"N0","JALC"
"119","aclamado","Adj",0,"N0","JALC"
"120","aclamar","V",0,"N0:N1","MAN"
"121","acobardado","Adj",-1,"N0","JALC"
"122","acobardar-se","V",-1,"N0","MAN"
"123","acobertado","Adj",-1,"N0","JALC"
"124","acobreado","Adj",0,"N0","JALC"
"125","acocado","Adj",-1,"N0","JALC"
"126","acoitado","Adj",-1,"N0","JALC"
"127","acolhedor","Adj",1,"N0","MAN"
"128","acolhido","Adj",0,"N0","JALC"
"129","acomodadico","Adj",-1,"N0","MAN"
"130","acomodar-se","V",-1,"N0","MAN"
"131","acomodaticio","Adj",0,"N0","MAN"
"132","acompanhado","Adj",0,"N0","JALC"
"133","acompanhador","Adj",0,"N0","JALC"
"134","acompanhante","Adj",0,"N0","JALC"
"135","aconchegado","Adj",1,"N0","MAN"
"136","acordado","Adj",0,"N0","MAN"
"137","acordar com o rabo para o ar","IDIOM",-1,"N0","MAN"
"138","acordar com os pes de fora","IDIOM",-1,"N0","MAN"
"139","acorrentado","Adj",-1,"N0","JALC"
"140","acorrentar-se","V",-1,"N0","MAN"
"141","acorrentar","V",1,"N0:N1","MAN"
"142","acossado","Adj",-1,"N0","JALC"
"143","acossar","V",1,"N0:N1","MAN"
"144","acostumado","Adj",0,"N0","JALC"
"145","acotovelar","V",0,"N0:N1","MAN"
"146","acougueiro","Adj",-1,"N0","JALC"
"147","acre","Adj",-1,"N0","MAN"
"148","acreditado","Adj",1,"N0","JALC"
"149","acreditar","V",0,"N0:N1","MAN"
"150","acriancado","Adj",-1,"N0","MAN"
"151","acrisolado","Adj",0,"N0","JALC"
"152","acritico","Adj",-1,"N0","MAN"
"153","activo","Adj",1,"N0","MAN"
"154","actualista","Adj",0,"N0","MAN"
"155","acudir","V",1,"N0:N1","MAN"
"156","aculturado","Adj",-1,"N0","MAN"
"157","acurado","Adj",1,"N0","JALC"
"158","acusado","Adj",-1,"N0","JALC"
"159","acusar","V",0,"N0:N1","MAN"
"160","acutilante","Adj",-1,"N0","MAN"
"161","adamico","Adj",-1,"N0","JALC"
"162","adaptado","Adj",0,"N0","JALC"
"163","adepto","Adj",1,"N0","MAN"
"164","adequado","Adj",1,"N0","JALC"
"165","adestrado","Adj",1,"N0","MAN"
"166","adicional","Adj",0,"N0","JALC"
"167","adiposo","Adj",-1,"N0","MAN"
"168","adjacente","Adj",0,"N0","JALC"
"169","administrado","Adj",0,"N0","JALC"
"170","admirar","V",0,"N0:N1","MAN"
"171","admiravel","Adj",1,"N0","MAN"
"172","admitido","Adj",0,"N0","JALC"
"173","admoestador","Adj",-1,"N0","MAN"
"174","adoentado","Adj",-1,"N0","MAN"
"175","adorado","Adj",1,"N0","JALC"
"176","adorando","Adj",1,"N0","JALC"
"177","adorar","V",0,"N0:N1","MAN"
"178","adoravel","Adj",1,"N0","JALC"
"179","adormecido","Adj",-1,"N0","MAN"
"180","adulador","Adj",-1,"N0","MAN"
"181","adulterador","Adj",-1,"N0","MAN"
"182","adulterino","Adj",-1,"N0","MAN"
"183","adulterio","N",-1,"N0","MAN"
"184","adultero","Adj",-1,"N0","MAN"
"185","adulto","Adj",0,"N0","MAN"
"186","adventista","Adj",0,"N0","MAN"
"187","adverso","Adj",-1,"N0","MAN"
"188","aereo","Adj",-1,"N0","MAN"
"189","afabilidade","N",1,"N0","MAN"
"190","afamado","Adj",1,"N0","MAN"
"191","afanado","Adj",-1,"N0","MAN"
"192","afasia","N",-1,"N0","MAN"
"193","afasico","Adj",-1,"N0","MAN"
"194","afastar","V",0,"N0:N1","MAN"
"195","afavel","Adj",1,"N0","MAN"
"196","afectado","Adj",-1,"N0","JALC"
"197","afectar","V",0,"N0:N1","MAN"
"198","afectividade","N",1,"N0","MAN"
"199","afectivo","Adj",1,"N0","MAN"
"200","afecto","N",1,"N0","MAN"
"201","afectuoso","Adj",1,"N0","MAN"
"202","afeicoado","Adj",1,"N0","JALC"
"203","afeito","Adj",0,"N0","JALC"
"204","afeminado","Adj",-1,"N0","JALC"
"205","aferido","Adj",0,"N0","JALC"
"206","aferrado","Adj",0,"N0","JALC"
"207","afetado","Adj",-1,"N0","JALC"
"208","afetividade","N",1,"N0","MAN"
"209","afetivo","Adj",1,"N0","MAN"
"210","afeto","N",1,"N0","MAN"
"211","afetuoso","Adj",1,"N0","JALC"
"212","afiado","Adj",-1,"N0","JALC"
"213","afidalgado","Adj",0,"N0","MAN"
"214","afilado","Adj",0,"N0","JALC"
"215","afilhado","Adj",0,"N0","JALC"
"216","afinado","Adj",1,"N0","JALC"
"217","afincado","Adj",0,"N0","JALC"
"218","afirmativo","Adj",1,"N0","JALC"
"219","aflicao","N",-1,"N0","MAN"
"220","afligido","Adj",-1,"N0","JALC"
"221","afligir-se","V",-1,"N0","MAN"
"222","afligir","V",0,"N0:N1","MAN"
"223","aflitivo","Adj",-1,"N0","MAN"
"224","aflito","Adj",-1,"N0","MAN"
"225","afobado","Adj",-1,"N0","JALC"
"226","afogado","Adj",-1,"N0","JALC"
"227","afogar as magoas","IDIOM",-1,"N0","MAN"
"228","afogar-se em pouca agua","IDIOM",-1,"N0","MAN"
"229","afogar-se","V",-1,"N0","MAN"
"230","afogueado","Adj",0,"N0","JALC"
"231","afoiteza","N",1,"N0","MAN"
"232","afoito","Adj",1,"N0","MAN"
"233","afortunado","Adj",1,"N0","MAN"
"234","afrancesado","Adj",0,"N0","MAN"
"235","afrontado","Adj",-1,"N0","JALC"
"236","afrontar","V",1,"N0:N1","MAN"
"237","afrontoso","Adj",-1,"N0","JALC"
"238","afugentar","V",1,"N0:N1","MAN"
"239","afundado","Adj",-1,"N0","JALC"
"240","afundanco","N",-1,"N0","MAN"
"241","afundar-se","V",-1,"N0","MAN"
"242","afundar","V",1,"N0:N1","MAN"
"243","agachado","Adj",-1,"N0","JALC"
"244","agarotado","Adj",-1,"N0","MAN"
"245","agarrado","Adj",-1,"N0","MAN"
"246","agarrar a oportunidade com unhas e dentes","IDIOM",1,"N0","MAN"
"247","agarrar a oportunidade","IDIOM",1,"N0","MAN"
"248","agarrar o touro pelos cornos","IDIOM",1,"N0","MAN"
"249","agarrar-se ao poder","IDIOM",-1,"N0","MAN"
"250","agasalhado","Adj",0,"N0","MAN"
"251","agastadico","Adj",-1,"N0","JALC"
"252","agastado","Adj",-1,"N0","JALC"
"253","agastar-se","V",-1,"N0","MAN"
"254","agil","Adj",1,"N0","MAN"
"255","agilidade","N",1,"N0","MAN"
"256","agiota","Adj",-1,"N0","JALC"
"257","agir de boa-fe","IDIOM",1,"N0","MAN"
"258","agir de ma-fe","IDIOM",-1,"N0","MAN"
"259","aglomerado","Adj",0,"N0","JALC"
"260","agnostico","Adj",0,"N0","MAN"
"261","agoirento","Adj",-1,"N0","MAN"
"262","agonia","N",-1,"N0","MAN"
"263","agoniado","Adj",-1,"N0","JALC"
"264","agoniante","Adj",-1,"N0","MAN"
"265","agoniar","V",-1,"N0:N1","MAN"
"266","agonizante","Adj",-1,"N0","MAN"
"267","agoureiro","Adj",-1,"N0","MAN"
"268","agourento","Adj",-1,"N0","MAN"
"269","agradado","Adj",1,"N0","JALC"
"270","agradar","V",1,"N0:N1","MAN"
"271","agradavel","Adj",1,"N0","MAN"
"272","agradecer","V",0,"N0:N1","MAN"
"273","agrado","N",1,"N0","MAN"
"274","agravado","Adj",-1,"N0","JALC"
"275","agravar","V",-1,"N0:N1","MAN"
"276","agre","Adj",-1,"N0","JALC"
"277","agredir","V",-1,"N0:N1","MAN"
"278","agregado","Adj",0,"N0","JALC"
"279","agressividade ","N",-1,"N0","MAN"
"280","agressivo","Adj",-1,"N0","MAN"
"281","agressor","Adj",-1,"N0","MAN"
"282","agreste","Adj",-1,"N0","MAN"
"283","agrilhoado","Adj",-1,"N0","JALC"
"284","agrosseirado","Adj",-1,"N0","MAN"
"285","aguado","Adj",-1,"N0","JALC"
"286","aguardado","Adj",0,"N0","JALC"
"287","agucado","Adj",-1,"N0","JALC"
"288","agudo","Adj",0,"N0","JALC"
"289","aguentar-se bem","IDIOM",1,"N0","MAN"
"290","aguentar-se","V",1,"N0","MAN"
"291","aguerrido","Adj",0,"N0","MAN"
"292","airoso","Adj",1,"N0","MAN"
"293","ajanotado","Adj",0,"N0","MAN"
"294","ajudado","Adj",1,"N0","JALC"
"295","ajuizado","Adj",1,"N0","MAN"
"296","alapado","Adj",-1,"N0","JALC"
"297","alarmante","Adj",-1,"N0","MAN"
"298","alarmismo","N",-1,"N0","MAN"
"299","alarmista","Adj",-1,"N0","MAN"
"300","alarve","Adj",-1,"N0","MAN"
"301","alarvice","N",-1,"N0","MAN"
"302","albigense","Adj",0,"N0","MAN"
"303","albino","Adj",-1,"N0","JALC"
"304","alcandorado","Adj",0,"N0","JALC"
"305","alcoolatra","Adj",-1,"N0","JALC"
"306","alcoolico","Adj",-1,"N0","MAN"
"307","alcoolismo","N",-1,"N0","MAN"
"308","alcoolizado","Adj",-1,"N0","MAN"
"309","alcunhado","Adj",0,"N0","JALC"
"310","aldrabao","Adj",-1,"N0","MAN"
"311","alegado","Adj",-1,"N0","MAN"
"312","alegrar-se","V",1,"N0","MAN"
"313","alegre","Adj",1,"N0","MAN"
"314","alegrete","Adj",0,"N0","MAN"
"315","alegria","N",1,"N0","MAN"
"316","alegrote","Adj",0,"N0","MAN"
"317","aleijado","Adj",-1,"N0","MAN"
"318","aleivoso","Adj",-1,"N0","MAN"
"319","alentado","Adj",1,"N0","MAN"
"320","alentador","Adj",1,"N0","MAN"
"321","alento","N",1,"N0","MAN"
"322","alergico","Adj",0,"N0","MAN"
"323","alfabetizado","Adj",0,"N0","MAN"
"324","algemado","Adj",-1,"N0","JALC"
"325","alheado","Adj",-1,"N0","JALC"
"326","alhear-se","V",-1,"N0:N1","MAN"
"327","alheio","Adj",-1,"N0","MAN"
"328","aliado","Adj",0,"N0","JALC"
"329","alicercado","Adj",1,"N0","JALC"
"330","aliciado","Adj",-1,"N0","JALC"
"331","aliciar","V",-1,"N0:N1","MAN"
"332","alienacao mental","N",-1,"N0","MAN"
"333","alienado","Adj",-1,"N0","MAN"
"334","alienigena","Adj",-1,"N0","JALC"
"335","aligeirado","Adj",0,"N0","JALC"
