cluster,journal,0
0,elpais,2
0,epoca,1
0,estadao,1
0,folha,1
0,g1,1
0,istoe,1
0,oglobo,1
0,veja,1
1,elpais,184
1,epoca,180
1,estadao,181
1,folha,205
1,g1,156
1,istoe,192
1,oglobo,169
1,veja,194
2,epoca,1
2,estadao,2
3,estadao,1
3,g1,1
3,veja,1
4,epoca,1
4,estadao,3
4,g1,1
4,istoe,1
5,epoca,1
5,estadao,1
5,istoe,1
6,epoca,1
6,g1,1
6,oglobo,1
7,epoca,1
7,istoe,2
8,epoca,1
8,istoe,1
9,epoca,1
9,oglobo,1
10,elpais,1
10,epoca,2
10,folha,1
10,g1,4
10,istoe,1
10,oglobo,2
10,veja,1
11,elpais,11
11,epoca,6
11,estadao,9
11,folha,5
11,g1,9
11,istoe,2
11,oglobo,10
11,veja,6
12,elpais,2
12,epoca,3
12,estadao,4
12,folha,1
12,g1,10
12,istoe,2
12,veja,3
13,epoca,1
13,g1,4
13,oglobo,1
14,elpais,1
14,epoca,1
14,g1,2
14,istoe,3
15,elpais,3
15,estadao,1
15,g1,8
15,istoe,3
15,oglobo,1
15,veja,2
16,elpais,1
16,estadao,1
16,folha,1
16,g1,3
16,istoe,3
16,oglobo,2
16,veja,1
17,elpais,1
17,epoca,1
17,estadao,1
17,g1,5
17,istoe,2
18,istoe,1
18,veja,1
19,estadao,2
19,folha,1
19,g1,1
19,istoe,2
20,epoca,1
20,istoe,1
21,estadao,1
21,istoe,1
22,elpais,1
22,g1,1
22,istoe,1
22,oglobo,1
22,veja,1
23,oglobo,8
24,estadao,1
24,folha,1
24,oglobo,1
24,veja,1
25,estadao,1
25,folha,1
25,istoe,1
25,oglobo,1
26,estadao,1
26,g1,1
26,oglobo,1
26,veja,1
27,elpais,3
27,folha,2
27,g1,4
27,istoe,1
27,oglobo,1
27,veja,5
28,estadao,1
28,veja,1
29,istoe,1
29,veja,1
30,veja,3
31,estadao,1
31,veja,2
