cluster,subject,0
0,prisao-lula,9
1,afastamento-aecio,136
1,impeachment-dilma,359
1,prisao-lula,281
1,reforma-previdencia,185
1,reforma-trabalhista,326
1,soltura-lula,174
2,reforma-trabalhista,3
3,reforma-trabalhista,3
4,reforma-previdencia,6
5,afastamento-aecio,3
6,reforma-trabalhista,3
7,afastamento-aecio,3
8,reforma-trabalhista,2
9,reforma-trabalhista,2
10,reforma-trabalhista,12
11,reforma-previdencia,54
11,reforma-trabalhista,4
12,reforma-trabalhista,25
13,afastamento-aecio,6
14,afastamento-aecio,7
15,prisao-lula,9
15,soltura-lula,9
16,afastamento-aecio,12
17,impeachment-dilma,10
18,prisao-lula,2
19,prisao-lula,6
20,afastamento-aecio,2
21,reforma-previdencia,2
22,afastamento-aecio,5
23,reforma-trabalhista,8
24,impeachment-dilma,4
25,soltura-lula,4
26,afastamento-aecio,4
27,prisao-lula,14
27,soltura-lula,2
28,prisao-lula,2
29,prisao-lula,2
30,soltura-lula,3
31,afastamento-aecio,2
31,impeachment-dilma,1
