cluster,journal,0
0,elpais,15
0,epoca,30
0,estadao,23
0,folha,22
0,g1,37
0,istoe,13
0,oglobo,32
0,veja,27
1,elpais,29
1,epoca,5
1,estadao,16
1,folha,21
1,g1,30
1,istoe,20
1,oglobo,16
1,veja,34
2,elpais,18
2,epoca,37
2,estadao,29
2,folha,29
2,g1,22
2,istoe,42
2,oglobo,20
2,veja,25
3,elpais,32
3,epoca,31
3,estadao,54
3,folha,43
3,g1,18
3,istoe,28
3,oglobo,36
3,veja,42
4,elpais,39
4,epoca,32
4,estadao,35
4,folha,35
4,g1,42
4,istoe,46
4,oglobo,43
4,veja,41
5,elpais,44
5,epoca,37
5,estadao,30
5,folha,47
5,g1,32
5,istoe,38
5,oglobo,22
5,veja,25
6,elpais,18
6,epoca,9
6,estadao,13
6,folha,10
6,g1,12
6,istoe,4
6,oglobo,13
6,veja,10
7,elpais,15
7,epoca,22
7,estadao,13
7,folha,12
7,g1,19
7,istoe,32
7,oglobo,19
7,veja,21
