cluster,subject,0
0,reforma-previdencia,1
0,reforma-trabalhista,198
1,afastamento-aecio,1
1,prisao-lula,100
1,soltura-lula,70
2,reforma-previdencia,142
2,reforma-trabalhista,79
2,soltura-lula,1
3,impeachment-dilma,8
3,prisao-lula,189
3,reforma-trabalhista,2
3,soltura-lula,85
4,afastamento-aecio,3
4,impeachment-dilma,309
4,reforma-trabalhista,1
5,afastamento-aecio,25
5,impeachment-dilma,55
5,prisao-lula,36
5,reforma-previdencia,28
5,reforma-trabalhista,95
5,soltura-lula,36
6,reforma-previdencia,76
6,reforma-trabalhista,13
7,afastamento-aecio,151
7,impeachment-dilma,2
