,fileid,cluster,journal,subject
0,"acervo.estadao.com.br___noticias_acervo,quatro-ex-presidentes-foram-presos-antes-de-lula,13267,0.htm.txt",5,estadao,prisao-lula
1,acervo.oglobo.globo.com___charges-e-humor_da-estreia-como-aecinho-lava-jato-tucano-retratado-em-charges-21552392.txt,0,oglobo,afastamento-aecio
2,acervo.oglobo.globo.com___em-destaque_aecio-neves-de-assessor-de-tancredo-governador-senador-ate-lava-jato-21359530.txt,0,oglobo,afastamento-aecio
3,blogs.oglobo.globo.com___bernardo-mello-franco_post_collor-diz-que-bolsonaro-corre-risco-de-impeachment.html.txt,5,oglobo,soltura-lula
4,blogs.oglobo.globo.com___bernardo-mello-franco_post_da-cadeia-lula-vai-comentar-copa-para-tv-de-sindicato.html.txt,5,oglobo,prisao-lula
5,blogs.oglobo.globo.com___lauro-jardim_post_por-que-bolsonaro-diz-que-lula-e-muito-burro.html.txt,5,oglobo,soltura-lula
6,blogs.oglobo.globo.com___merval-pereira_post_condenacao-de-lula-continua-igual.html.txt,3,oglobo,soltura-lula
7,brasil.elpais.com___brasil_2015_12_02_politica_1449093380_156718.html.txt,1,elpais,impeachment-dilma
8,brasil.elpais.com___brasil_2015_12_08_politica_1449576293_761185.html.txt,1,elpais,impeachment-dilma
9,brasil.elpais.com___brasil_2015_12_16_opinion_1450265966_724667.html.txt,1,elpais,impeachment-dilma
10,brasil.elpais.com___brasil_2016_02_02_politica_1454449234_500788.html.txt,1,elpais,impeachment-dilma
11,brasil.elpais.com___brasil_2016_03_04_politica_1457115590_947838.html.txt,1,elpais,impeachment-dilma
12,brasil.elpais.com___brasil_2016_03_10_politica_1457613322_994449.html.txt,1,elpais,impeachment-dilma
13,brasil.elpais.com___brasil_2016_03_13_politica_1457906776_440577.html.txt,1,elpais,impeachment-dilma
14,brasil.elpais.com___brasil_2016_03_17_politica_1458179601_208300.html.txt,5,elpais,impeachment-dilma
15,brasil.elpais.com___brasil_2016_03_18_politica_1458258396_570381.html.txt,1,elpais,impeachment-dilma
16,brasil.elpais.com___brasil_2016_03_22_politica_1458666904_690917.html.txt,1,elpais,impeachment-dilma
17,brasil.elpais.com___brasil_2016_03_28_politica_1459189645_411464.html.txt,5,elpais,impeachment-dilma
18,brasil.elpais.com___brasil_2016_03_30_politica_1459293666_164652.html.txt,1,elpais,impeachment-dilma
19,brasil.elpais.com___brasil_2016_03_31_politica_1459383585_301639.html.txt,1,elpais,impeachment-dilma
20,brasil.elpais.com___brasil_2016_04_01_politica_1459541270_747797.html.txt,1,elpais,impeachment-dilma
21,brasil.elpais.com___brasil_2016_04_05_politica_1459812255_649619.html.txt,1,elpais,impeachment-dilma
22,brasil.elpais.com___brasil_2016_04_05_politica_1459872017_590938.html.txt,1,elpais,impeachment-dilma
23,brasil.elpais.com___brasil_2016_04_06_politica_1459978876_935564.html.txt,1,elpais,impeachment-dilma
24,brasil.elpais.com___brasil_2016_04_08_politica_1460140995_879932.html.txt,1,elpais,impeachment-dilma
25,brasil.elpais.com___brasil_2016_04_12_politica_1460430132_131176.html.txt,5,elpais,impeachment-dilma
26,brasil.elpais.com___brasil_2016_04_12_politica_1460484960_263641.html.txt,1,elpais,impeachment-dilma
27,brasil.elpais.com___brasil_2016_04_15_politica_1460687713_055409.html.txt,1,elpais,impeachment-dilma
28,brasil.elpais.com___brasil_2016_04_15_politica_1460734774_530766.html.txt,1,elpais,impeachment-dilma
29,brasil.elpais.com___brasil_2016_04_17_media_1460895657_868124.html.txt,5,elpais,impeachment-dilma
30,brasil.elpais.com___brasil_2016_04_17_politica_1460924183_167143.html.txt,1,elpais,impeachment-dilma
31,brasil.elpais.com___brasil_2016_04_18_politica_1460943585_924610.html.txt,1,elpais,impeachment-dilma
32,brasil.elpais.com___brasil_2016_04_19_politica_1461019293_721277.html.txt,1,elpais,impeachment-dilma
33,brasil.elpais.com___brasil_2016_04_20_politica_1461184678_726086.html.txt,1,elpais,impeachment-dilma
34,brasil.elpais.com___brasil_2016_05_06_politica_1462487188_422479.html.txt,1,elpais,impeachment-dilma
35,brasil.elpais.com___brasil_2016_05_10_politica_1462835274_205462.html.txt,1,elpais,impeachment-dilma
36,brasil.elpais.com___brasil_2016_05_10_politica_1462910494_551515.html.txt,0,elpais,impeachment-dilma
37,brasil.elpais.com___brasil_2016_05_11_politica_1462991169_808675.html.txt,1,elpais,impeachment-dilma
38,brasil.elpais.com___brasil_2016_05_11_politica_1462997495_675228.html.txt,1,elpais,impeachment-dilma
39,brasil.elpais.com___brasil_2016_05_12_internacional_1463053024_876025.html.txt,5,elpais,impeachment-dilma
40,brasil.elpais.com___brasil_2016_05_12_politica_1463017113_667226.html.txt,1,elpais,impeachment-dilma
41,brasil.elpais.com___brasil_2016_05_19_politica_1463679369_944371.html.txt,1,elpais,impeachment-dilma
42,brasil.elpais.com___brasil_2016_05_23_politica_1464033744_760409.html.txt,1,elpais,impeachment-dilma
43,brasil.elpais.com___brasil_2016_06_08_politica_1465401227_020297.html.txt,5,elpais,impeachment-dilma
44,brasil.elpais.com___brasil_2016_06_10_politica_1465589880_428444.html.txt,1,elpais,impeachment-dilma
45,brasil.elpais.com___brasil_2016_06_27_politica_1467040634_118457.html.txt,1,elpais,impeachment-dilma
46,brasil.elpais.com___brasil_2016_07_01_politica_1467377006_399517.html.txt,5,elpais,impeachment-dilma
47,brasil.elpais.com___brasil_2016_08_09_internacional_1470754391_492099.html.txt,5,elpais,impeachment-dilma
48,brasil.elpais.com___brasil_2016_08_10_politica_1470784384_557956.html.txt,1,elpais,impeachment-dilma
49,brasil.elpais.com___brasil_2016_08_16_politica_1471370577_438351.html.txt,1,elpais,impeachment-dilma
50,brasil.elpais.com___brasil_2016_08_20_politica_1471655801_573594.html.txt,1,elpais,impeachment-dilma
51,brasil.elpais.com___brasil_2016_08_27_politica_1472257804_067144.html.txt,1,elpais,impeachment-dilma
52,brasil.elpais.com___brasil_2016_08_30_politica_1472516314_396319.html.txt,1,elpais,impeachment-dilma
53,brasil.elpais.com___brasil_2016_08_30_politica_1472559177_490168.html.txt,1,elpais,impeachment-dilma
54,brasil.elpais.com___brasil_2016_08_31_opinion_1472650538_750062.html.txt,1,elpais,impeachment-dilma
55,brasil.elpais.com___brasil_2016_08_31_politica_1472676017_457817.html.txt,1,elpais,impeachment-dilma
56,brasil.elpais.com___brasil_2016_09_01_politica_1472682956_242080.html.txt,5,elpais,impeachment-dilma
57,brasil.elpais.com___brasil_2016_09_01_politica_1472698540_990899.html.txt,5,elpais,impeachment-dilma
58,brasil.elpais.com___brasil_2016_09_07_internacional_1473281921_337121.html.txt,5,elpais,impeachment-dilma
59,brasil.elpais.com___brasil_2016_09_10_politica_1473459058_393103.html.txt,1,elpais,impeachment-dilma
60,brasil.elpais.com___brasil_2017_03_02_politica_1488465624_752767.html.txt,5,elpais,afastamento-aecio
61,brasil.elpais.com___brasil_2017_03_03_politica_1488567662_626759.html.txt,2,elpais,reforma-trabalhista
62,brasil.elpais.com___brasil_2017_03_14_politica_1489527515_791102.html.txt,2,elpais,reforma-trabalhista
63,brasil.elpais.com___brasil_2017_03_21_politica_1490127891_298981.html.txt,4,elpais,reforma-trabalhista
64,brasil.elpais.com___brasil_2017_03_29_opinion_1490806331_286763.html.txt,6,elpais,reforma-trabalhista
65,brasil.elpais.com___brasil_2017_03_30_politica_1490900263_754660.html.txt,5,elpais,reforma-trabalhista
66,brasil.elpais.com___brasil_2017_04_01_politica_1491007616_060512.html.txt,5,elpais,reforma-trabalhista
67,brasil.elpais.com___brasil_2017_04_18_politica_1492538007_595666.html.txt,5,elpais,reforma-trabalhista
68,brasil.elpais.com___brasil_2017_04_21_economia_1492726431_998946.html.txt,4,elpais,reforma-trabalhista
69,brasil.elpais.com___brasil_2017_04_22_politica_1492814264_277616.html.txt,2,elpais,reforma-trabalhista
70,brasil.elpais.com___brasil_2017_04_25_politica_1493074533_442768.html.txt,4,elpais,reforma-trabalhista
71,brasil.elpais.com___brasil_2017_04_25_politica_1493142273_498795.html.txt,5,elpais,reforma-trabalhista
72,brasil.elpais.com___brasil_2017_04_26_politica_1493228744_734088.html.txt,5,elpais,reforma-trabalhista
73,brasil.elpais.com___brasil_2017_04_26_politica_1493239710_815493.html.txt,2,elpais,reforma-trabalhista
74,brasil.elpais.com___brasil_2017_04_27_internacional_1493296487_352960.html.txt,4,elpais,reforma-trabalhista
75,brasil.elpais.com___brasil_2017_04_27_politica_1493248308_190135.html.txt,4,elpais,reforma-trabalhista
76,brasil.elpais.com___brasil_2017_04_27_politica_1493303188_266659.html.txt,5,elpais,reforma-trabalhista
77,brasil.elpais.com___brasil_2017_04_28_album_1493370617_756920.html.txt,5,elpais,reforma-trabalhista
78,brasil.elpais.com___brasil_2017_04_28_politica_1493403387_106996.html.txt,2,elpais,reforma-trabalhista
